time_s,decimated_V,nn_kalman_V,fixed_kalman_V
0.00000000,2.43164062,2.43164062,2.43164062
0.00040000,2.43164062,2.43164062,2.43164062
0.00080000,2.43164062,2.43164062,2.43164062
0.00120000,2.43164062,2.43164062,2.43164062
0.00160000,2.43164062,2.43164062,2.43164062
0.00200000,2.43164062,2.43164062,2.43164062
0.00240000,2.43164062,2.43164062,2.43164062
0.00280000,2.43164062,2.43164062,2.43164062
0.00320000,2.43164062,2.43164062,2.43164062
0.00360000,2.43164062,2.43164062,2.43164062
0.00400000,2.43164062,2.43164062,2.43164062
0.00440000,2.41699219,2.42995742,2.41700097
0.00480000,2.41210938,2.42796992,2.41211231
0.00520000,2.41210938,2.42622848,2.41210938
0.00560000,2.41210938,2.42468426,2.41210938
0.00600000,2.41210938,2.42330337,2.41210938
0.00640000,2.41210938,2.42207422,2.41210938
0.00680000,2.41210938,2.42097989,2.41210938
0.00720000,2.41210938,2.42000490,2.41210938
0.00760000,2.41210938,2.41912115,2.41210938
0.00800000,2.41210938,2.41831393,2.41210938
0.00840000,2.41210938,2.41758692,2.41210938
0.00880000,2.41210938,2.41693996,2.41210938
0.00920000,2.41210938,2.41636974,2.41210938
0.00960000,2.41210938,2.41587083,2.41210938
0.01000000,2.41210938,2.41543655,2.41210938
0.01040000,2.41210938,2.41505967,2.41210938
0.01080000,2.41210938,2.41473292,2.41210938
0.01120000,2.41210938,2.41444892,2.41210938
0.01160000,2.41210938,2.41420092,2.41210938
0.01200000,2.41210938,2.41398325,2.41210938
0.01240000,2.41210938,2.41379126,2.41210938
0.01280000,2.41210938,2.41362119,2.41210938
0.01320000,2.40234375,2.41249318,2.40234960
0.01360000,2.39257812,2.41051908,2.39258398
0.01400000,2.39257812,2.40875380,2.39257813
0.01440000,2.39257812,2.40715694,2.39257813
0.01480000,2.39257812,2.40570198,2.39257813
0.01520000,2.39257812,2.40437624,2.39257812
0.01560000,2.39257812,2.40316450,2.39257812
0.01600000,2.39257812,2.40205709,2.39257812
0.01640000,2.39257812,2.40104174,2.39257812
0.01680000,2.39257812,2.40008190,2.39257812
0.01720000,2.39257812,2.39920073,2.39257812
0.01760000,2.39257812,2.39840865,2.39257812
0.01800000,2.39257812,2.39770649,2.39257812
0.01840000,2.39257812,2.39708988,2.39257812
0.01880000,2.39257812,2.39655193,2.39257812
0.01920000,2.39257812,2.39608472,2.39257812
0.01960000,2.39257812,2.39568008,2.39257812
0.02000000,2.39257812,2.39533002,2.39257812
0.02040000,2.39257812,2.39502695,2.39257812
0.02080000,2.39257812,2.39476344,2.39257812
0.02120000,2.39257812,2.39453308,2.39257812
0.02160000,2.39257812,2.39433062,2.39257812
0.02200000,2.39257812,2.39415182,2.39257812
0.02240000,2.37304688,2.39202519,2.37305858
0.02280000,2.37304688,2.39013248,2.37304688
0.02320000,2.37304688,2.38843313,2.37304688
0.02360000,2.37304688,2.38689501,2.37304688
0.02400000,2.37304688,2.38549294,2.37304688
0.02440000,2.37304688,2.38421661,2.37304688
0.02480000,2.37304688,2.38305004,2.37304688
0.02520000,2.37304688,2.38198840,2.37304688
0.02560000,2.37304688,2.38095838,2.37304688
0.02600000,2.37304688,2.38000469,2.37304688
0.02640000,2.37304688,2.37914819,2.37304688
0.02680000,2.42187500,2.38444045,2.42184573
0.02720000,2.55859375,2.40620509,2.55851179
0.02760000,2.69531250,2.49408268,2.69523051
0.02800000,2.76367188,2.71181053,2.76363085
0.02840000,2.79785156,2.78949962,2.79783105
0.02880000,2.83203125,2.82988592,2.83201075
0.02920000,2.86132812,2.85990171,2.86131055
0.02960000,2.89550781,2.89312912,2.89548732
0.03000000,2.92968750,2.92702510,2.92966700
0.03040000,2.95898438,2.95622626,2.95896680
0.03080000,2.99316406,2.98978893,2.99314357
0.03120000,3.02734375,3.02366026,3.02732325
